CODGEO;LIBGEO;DATE_ARRETE;NB__voiture_rechargeable;NB_Voiture;Population_totale;Superficie;M�diane_niveau_vie;Pop_15_64_ans;Nombre_borne;Puissance
69290;SAINT-PRIEST;31/03/2025;2195;54869;48822;29,71;21420;30611;154;74,34378378
69291;SAINT-SYMPHORIEN-D'OZON;31/03/2025;228;6247;5965;13,37;26560;3726;4;13
69292;SATHONAY-CAMP;31/03/2025;335;7650;6858;1,96;24460;4523;4;5
69293;SATHONAY-VILLAGE;31/03/2025;112;2201;2423;5,15;33220;1499;4;5
69294;SÉRÉZIN-DU-RHÔNE;31/03/2025;109;2967;2981;3,97;26360;1853;36;63,6
69295;SIMANDRES;31/03/2025;79;2027;1855;10,45;28190;1188;#N/A;#N/A
69296;SOLAIZE;31/03/2025;173;3295;3082;8,1;29430;1874;22;104,8933333
69297;TERNAY;31/03/2025;270;6141;5503;8,06;27400;3316;4;23
69298;TOUSSIEU;31/03/2025;153;3173;3195;5,02;29590;1985;#N/A;#N/A
69299;COLOMBIER-SAUGNIEU;31/03/2025;222;4575;2757;27,62;27000;1827;26;90
69997;NON IDENTIFIE;31/03/2025;0;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
69999;FORAINS;31/03/2025;0;623;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
